show_id,title,genre,release_year
S1,Stranger Things,Sci-Fi,2016
S2,Money Heist,Action,2017
S3,The Crown,Drama,2016
S4,Narcos,Crime,2015
S5,Black Mirror,Sci-Fi,2011
S6,BoJack Horseman,Animation,2014
S7,Breaking Bad,Drama,2008
S8,Dark,Mystery,2017
S9,Peaky Blinders,Drama,2013
S10,The Witcher,Fantasy,2019
S11,Lucifer,Crime,2016
S12,Sex Education,Comedy,2019
S13,The Queenâ€™s Gambit,Drama,2020
S14,Ozark,Crime,2017
S15,The Umbrella Academy,Action,2019
S16,Emily in Paris,Romance,2020
S17,You,Thriller,2018
S18,"Love, Death & Robots",Sci-Fi,2019
S19,The Midnight Gospel,Animation,2020
S20,The Haunting of Hill House,Horror,2018
S21,Beef,Drama,2023
S22,Wednesday,Mystery,2022
S23,Kaleidoscope,Crime,2023
S24,The Diplomat,Drama,2023
S25,All the Light We Cannot See,War,2023
S26,Leave the World Behind,Thriller,2023
S27,Extraction 2,Action,2023
S28,Rebel Moon,Sci-Fi,2024
S29,Griselda,Crime,2024
S30,3 Body Problem,Sci-Fi,2024
S31,Avatar: The Last Airbender,Fantasy,2024
S32,One Piece,Adventure,2023
S33,"XO, Kitty",Romance,2023
S34,Bodies,Mystery,2023
S35,Obliterated,Action,2023
S36,The Walking Dead,Horror,2010
